angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,"(842, 233, 350, 350)",0.0,0.03,0.0,0.93,0.03,0.0
0.0,"(842, 233, 350, 350)",0.0,0.03,0.0,0.93,0.03,0.0
0.0,"(842, 233, 350, 350)",0.0,0.03,0.0,0.93,0.03,0.0
0.01,"(846, 235, 347, 347)",0.0,0.04,0.0,0.91,0.04,0.01
0.01,"(847, 235, 347, 347)",0.0,0.04,0.0,0.9,0.04,0.01
0.01,"(848, 235, 347, 347)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(848, 236, 346, 346)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(848, 236, 346, 346)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(847, 236, 345, 345)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(847, 236, 346, 346)",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"(846, 236, 347, 347)",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"(846, 236, 347, 347)",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"(846, 236, 347, 347)",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"(844, 237, 346, 346)",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"(844, 237, 346, 346)",0.0,0.03,0.0,0.9,0.05,0.0
0.01,"(844, 237, 346, 346)",0.0,0.04,0.0,0.9,0.06,0.01
0.01,"(844, 238, 345, 345)",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"(844, 238, 345, 345)",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"(845, 239, 344, 344)",0.0,0.04,0.0,0.88,0.07,0.0
0.01,"(845, 238, 345, 345)",0.0,0.04,0.0,0.87,0.07,0.01
0.01,"(848, 240, 341, 341)",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"(848, 240, 341, 341)",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"(848, 240, 341, 341)",0.0,0.04,0.0,0.9,0.05,0.01
0.01,"(847, 241, 341, 341)",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"(848, 242, 340, 340)",0.0,0.05,0.0,0.87,0.07,0.01
0.01,"(850, 240, 341, 341)",0.0,0.05,0.0,0.87,0.07,0.01
0.01,"(850, 240, 341, 341)",0.0,0.05,0.0,0.87,0.07,0.01
0.01,"(850, 240, 341, 341)",0.0,0.05,0.0,0.87,0.07,0.01
0.01,"(846, 241, 340, 340)",0.0,0.04,0.0,0.89,0.06,0.01
0.01,"(846, 241, 340, 340)",0.0,0.04,0.0,0.89,0.06,0.01
0.02,"(846, 242, 339, 339)",0.0,0.05,0.0,0.85,0.07,0.01
0.01,"(846, 242, 339, 339)",0.0,0.05,0.0,0.86,0.07,0.01
0.01,"(846, 242, 339, 339)",0.0,0.05,0.0,0.86,0.07,0.01
0.01,"(848, 243, 338, 338)",0.0,0.04,0.0,0.87,0.07,0.0
0.01,"(847, 243, 338, 338)",0.0,0.04,0.0,0.89,0.06,0.0
0.01,"(849, 243, 338, 338)",0.0,0.05,0.0,0.86,0.07,0.0
0.01,"(849, 243, 337, 337)",0.0,0.06,0.0,0.86,0.06,0.0
0.01,"(849, 243, 338, 338)",0.0,0.05,0.0,0.86,0.07,0.0
0.01,"(846, 242, 340, 340)",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"(846, 242, 340, 340)",0.0,0.03,0.0,0.91,0.05,0.01
0.01,"(847, 242, 339, 339)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(847, 242, 339, 339)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(847, 242, 339, 339)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(846, 241, 341, 341)",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"(845, 241, 341, 341)",0.0,0.03,0.0,0.91,0.04,0.01
0.01,"(845, 242, 341, 341)",0.0,0.03,0.0,0.93,0.04,0.0
0.01,"(845, 242, 341, 341)",0.0,0.03,0.0,0.93,0.04,0.0
0.01,"(845, 242, 341, 341)",0.0,0.03,0.0,0.93,0.04,0.0
0.01,"(843, 239, 345, 345)",0.0,0.05,0.0,0.88,0.05,0.01
0.01,"(844, 239, 345, 345)",0.0,0.05,0.0,0.89,0.05,0.01
0.01,"(844, 239, 346, 346)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(844, 239, 346, 346)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(844, 239, 346, 346)",0.0,0.04,0.0,0.89,0.05,0.01
0.01,"(845, 239, 347, 347)",0.0,0.05,0.0,0.89,0.05,0.0
0.01,"(845, 240, 346, 346)",0.0,0.06,0.0,0.87,0.06,0.01
0.01,"(847, 238, 348, 348)",0.0,0.02,0.0,0.93,0.04,0.0
0.01,"(847, 239, 347, 347)",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"(847, 239, 347, 347)",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"(849, 241, 346, 346)",0.0,0.03,0.0,0.92,0.04,0.0
0.01,"(849, 240, 347, 347)",0.0,0.03,0.0,0.93,0.04,0.0
0.01,"(849, 240, 347, 347)",0.0,0.03,0.0,0.91,0.05,0.0
0.01,"(849, 240, 347, 347)",0.0,0.02,0.0,0.91,0.05,0.0
0.01,"(849, 240, 347, 347)",0.0,0.02,0.0,0.91,0.05,0.0
0.01,"(850, 240, 347, 347)",0.0,0.03,0.0,0.9,0.05,0.01
0.01,"(850, 240, 347, 347)",0.0,0.03,0.0,0.9,0.05,0.01
0.0,"(829, 230, 369, 369)",0.0,0.01,0.0,0.94,0.05,0.0
0.0,"(829, 231, 368, 368)",0.0,0.01,0.0,0.92,0.06,0.0
0.0,"(829, 231, 368, 368)",0.0,0.01,0.0,0.92,0.06,0.0
0.0,"(827, 226, 373, 373)",0.0,0.01,0.0,0.93,0.05,0.0
0.0,"(827, 226, 374, 374)",0.0,0.01,0.0,0.95,0.04,0.0
0.01,"(828, 226, 370, 370)",0.0,0.02,0.0,0.87,0.1,0.01
0.01,"(846, 239, 351, 351)",0.0,0.02,0.0,0.94,0.04,0.0
0.01,"(846, 239, 351, 351)",0.0,0.02,0.0,0.94,0.04,0.0
